ds,y,RNN
2024-07-21 11:00:00,1.575798,
2024-07-21 12:00:00,1.545104,
2024-07-21 13:00:00,1.545342,
2024-07-21 14:00:00,1.545127,
2024-07-21 15:00:00,1.545817,
2024-07-21 16:00:00,1.54486,
2024-07-21 17:00:00,1.545443,
2024-07-21 18:00:00,1.544841,
2024-07-21 19:00:00,1.545529,
2024-07-21 20:00:00,1.576048,
2024-07-21 21:00:00,1.54553,
2024-07-21 22:00:00,1.545008,
2024-07-21 23:00:00,1.545928,
2024-07-22 00:00:00,1.545034,
2024-07-22 01:00:00,1.545752,
2024-07-22 02:00:00,1.571581,
2024-07-22 03:00:00,1.629988,
2024-07-22 04:00:00,1.594071,
2024-07-22 05:00:00,1.594719,
2024-07-22 06:00:00,1.594001,
2024-07-22 07:00:00,1.604183,
2024-07-22 08:00:00,1.59485,
2024-07-22 09:00:00,1.594695,
2024-07-22 10:00:00,1.593782,
2024-07-22 11:00:00,1.643905,
2024-07-22 12:00:00,1.607096,
2024-07-22 13:00:00,1.609196,
2024-07-22 14:00:00,1.608264,
2024-07-22 15:00:00,1.607848,
2024-07-22 16:00:00,1.594049,
2024-07-22 17:00:00,1.660623,
2024-07-22 18:00:00,1.593708,
2024-07-22 19:00:00,1.594692,
2024-07-22 20:00:00,1.626055,
2024-07-22 21:00:00,1.594591,
2024-07-22 22:00:00,1.593953,
2024-07-22 23:00:00,1.594592,
2024-07-23 00:00:00,1.594072,
2024-07-23 01:00:00,1.594637,
2024-07-23 02:00:00,1.594057,
2024-07-23 03:00:00,1.630958,
2024-07-23 04:00:00,1.594052,
2024-07-23 05:00:00,1.616538,
2024-07-23 06:00:00,1.607759,
2024-07-23 07:00:00,1.605583,
2024-07-23 08:00:00,1.595686,
2024-07-23 09:00:00,1.645523,
2024-07-23 10:00:00,1.634011,
2024-07-23 11:00:00,1.636167,
2024-07-23 12:00:00,1.593903,
2024-07-23 13:00:00,1.594586,1.6140366
2024-07-23 14:00:00,1.593792,1.6055729
2024-07-23 15:00:00,1.594281,1.5877062
2024-07-23 16:00:00,1.59388,1.597621
2024-07-23 17:00:00,1.594486,1.5876546
2024-07-23 18:00:00,1.59407,1.5939691
2024-07-23 19:00:00,1.616272,1.5972164
2024-07-23 20:00:00,1.689476,1.5940373
2024-07-23 21:00:00,1.59446,1.6113101
2024-07-23 22:00:00,1.593966,1.5968689
2024-07-23 23:00:00,1.858409,1.6279505
2024-07-24 00:00:00,1.594045,1.6001866
2024-07-24 01:00:00,1.594966,1.5991511
2024-07-24 02:00:00,1.593772,1.5967823
2024-07-24 03:00:00,1.630855,1.6411297
2024-07-24 04:00:00,1.59407,1.640367
2024-07-24 05:00:00,1.594519,1.6257583
2024-07-24 06:00:00,1.593931,1.5927154
2024-07-24 07:00:00,1.606902,1.6046453
2024-07-24 08:00:00,1.594492,1.604407
2024-07-24 09:00:00,1.594423,1.6301095
2024-07-24 10:00:00,1.597327,1.6028074
2024-07-24 11:00:00,1.62527,1.6119565
2024-07-24 12:00:00,1.59746,1.6143951